status,starturl,origin
200,http://hdl.handle.net/11022/0000-0000-50DD-D,spoken-corpora
200,http://buszi.nytud.hu/buszi-2-iranyitott-beszelgetesek,spoken-corpora
200,http://buszi.nytud.hu/keresoprogramok,spoken-corpora
200,http://buszi.nytud.hu/,spoken-corpora
200,http://metashare.ilsp.gr:8080/repository/browse/hungarian-babel/9c27b9d481b611e2892a000c29bfc0d46a94c6ce19b843b3a452b382e2e64832/,spoken-corpora
200,http://catalog.elra.info/en-us/repository/browse/ELRA-S0396/,spoken-corpora
200,http://exmaralda.org/en/about-exmaralda/,spoken-corpora
200,http://hdl.handle.net/11022/0000-0007-C641-0,spoken-corpora
200,http://hdl.handle.net/11234/1-2580,spoken-corpora
200,https://cocoon.huma-num.fr/exist/crdo/ark:/87895/1.17-794340,spoken-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0001-4914-D,spoken-corpora
200,https://repository.ortolang.fr/api/content/cefc-orfeo/4/documentation/site-orfeo/index.html,spoken-corpora
200,http://catalog.elra.info/product_info.php?products_id=1219,spoken-corpora
200,https://docs.google.com/document/d/10TAVfwLtEPCofbd_kjjh0nzXTB3q3XdiMkjXkU7RxUg/edit,newspaper-corpora
200,http://clapi.icar.cnrs.fr/,spoken-corpora
200,http://hdl.handle.net/11372/LRT-865,spoken-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0023-119D-A,spoken-corpora
200,https://www.eduskunta.fi/FI/lakiensaataminen/taysistunnon_verkkolahetykset/tallenteet/Sivut/default.aspx,spoken-corpora
200,http://www.uef.fi/fi/finka/finka,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-201407305,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014073033,spoken-corpora
200,http://hdl.handle.net/11022/0000-0000-5F0B-B,spoken-corpora
200,http://hdl.handle.net/11022/1009-0000-0001-231F-6,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014073041,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-100110016072,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014052716,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-1001100111532,spoken-corpora
200,http://hdl.handle.net/11022/0000-0000-772F-7,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-201407141,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-1001100134,spoken-corpora
200,http://hdl.handle.net/11113/00-0000-0000-0000-32A7-7@view,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2016021201,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014073043,spoken-corpora
200,http://hdl.handle.net/11022/0000-0000-5225-A,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014101401,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-100110017700,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-201403265,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-201708251,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-1001100133,spoken-corpora
200,http://doi.org/10.15155/1-00-0000-0000-0000-00129L,spoken-corpora
200,http://bark.phon.ioc.ee/avalik/EKRK_KYBI/,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2017092133,spoken-corpora
200,http://hdl.handle.net/11022/0000-0000-63CE-9,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-2014052721,spoken-corpora
200,https://catalog.ldc.upenn.edu/LDC96S36,spoken-corpora
200,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=airtraffic_en_w,spoken-corpora
200,http://urn.fi/urn:nbn:fi:lb-201403262,spoken-corpora
200,http://doi.org/10.15155/3-00-0000-0000-0000-0001AL,spoken-corpora
200,http://doi.org/10.15155/1-00-0000-0000-0000-00076L,spoken-corpora
200,http://hdl.handle.net/11022/0000-0007-C6F2-8,spoken-corpora
200,https://hdl.handle.net/11403/cefc-orfeo/v1,spoken-corpora
200,https://lindat.mff.cuni.cz/services/kontext/first_form?corpname=ovm_cs_w,spoken-corpora
200,https://kontext.korpus.cz/first_form?corpname=ortofon_v1,spoken-corpora
200,https://doi.org/10.15155/9-00-0000-0000-0000-00021L,spoken-corpora
200,https://kontext.korpus.cz/first_form?corpname=oral2013,spoken-corpora
200,http://hdl.handle.net/11022/0000-0000-5C64-9,spoken-corpora
200,http://hdl.handle.net/11403/CLAPI,spoken-corpora
200,https://doi.org/10.15155/9-00-0000-0000-0000-00022L,spoken-corpora
200,http://wiki.korpus.cz/doku.php/en:cnk:dialekt,spoken-corpora
200,https://kontext.korpus.cz/first_form?corpname=dialekt_v1_dial,spoken-corpora
200,http://ota.ox.ac.uk/headers/2561.xml,spoken-corpora
200,http://www.lrec-conf.org/proceedings/lrec2012/summaries/653.html,parliamentary-corpora
200,http://lrec-conf.org/workshops/lrec2018/W2/summaries/6_W2.html,parliamentary-corpora
200,https://wiki.korpus.cz/doku.php/en:cnk:dialekt,spoken-corpora
200,https://www.researchgate.net/publication/290981681_Czechparl_Corpus_of_stenographic_protocols_from_Czech_parliament,parliamentary-corpora
200,https://doi.org/10.15155/9-00-0000-0000-0000-00023L,spoken-corpora
200,http://lrec-conf.org/workshops/lrec2018/W2/summaries/9_W2.html,parliamentary-corpora
200,http://lrec-conf.org/workshops/lrec2018/W2/pdf/book_of_proceedings.pdf,parliamentary-corpora
200,http://www8.cs.umu.se/~johanna/sltc2016/abstracts/SLTC_2016_paper_31.pdf,parliamentary-corpora
200,http://videolectures.net/parlaCLARIN2018_miyazaki/,parliamentary-corpora
200,https://www.clarin.eu/ParlaCLARIN,parliamentary-corpora
200,http://hdl.handle.net/11022/0000-0000-4F70-A,spoken-corpora
200,http://hdl.handle.net/11041/sldr000776,spoken-corpora
200,http://videolectures.net/clarinplusworkshop2017_sofia/,parliamentary-corpora
200,http://hdl.handle.net/11234/1-1912,spoken-corpora
200,http://hdl.handle.net/11372/LRT-1455,spoken-corpora
200,http://hdl.handle.net/11234/1-2375,spoken-corpora
200,https://drive.google.com/file/d/1XRsGl8HHW2DUsuRxfajT3ycRIJN_MrE8/view?usp=sharing,parliamentary-corpora
200,https://www.clarin.eu/event/2017/clarin-plus-workshop-working-parliamentary-records,parliamentary-corpora
200,http://hdl.handle.net/11234/1-2579,spoken-corpora
200,https://federiconanni.com/%20ukparl/,parliamentary-corpora
200,http://hdl.handle.net/11234/1-1848,spoken-corpora
200,http://search.politicalmashup.nl/,parliamentary-corpora
200,https://nlp.fi.muni.cz/projekty/ajka/,parliamentary-corpora
200,https://data.mendeley.com/datasets/xsvp45cbt4/2,parliamentary-corpora
200,http://www.political.webclark.org/?locale=bg,parliamentary-corpora
400,https://the.sketchengine.co.uk/login/?next=%2Fcorpus%2Ffirst_form%3Fcorpname%3Dpreloaded%2Fczechparl2012%3B,parliamentary-corpora
200,http://homepages.uni-regensburg.de/~sic07430/,parliamentary-corpora
200,https://www.statmt.org/europarl/,parliamentary-corpora
200,https://www.clarin.si/kontext/first_form?corpname=slovparl,parliamentary-corpora
200,https://spraakbanken.gu.se/swe/forskning/infrastruktur/sparv,parliamentary-corpora
200,https://www.muni.cz/en/research/publications/914268,parliamentary-corpora
200,https://nlp.stanford.edu/software/tagger.shtml,parliamentary-corpora
200,http://lxcenter.di.fc.ul.pt/tools/en/conteudo/LXTagger.html,parliamentary-corpora
200,http://lxcenter.di.fc.ul.pt/tools/en/LXTokenizerEN.html,parliamentary-corpora
200,http://clip.ipipan.waw.pl/PSC,parliamentary-corpora
200,https://ilk.uvt.nl/mbma/,parliamentary-corpora
200,http://zil.ipipan.waw.pl/Nerf,parliamentary-corpora
200,http://sejm.nlp.ipipan.waw.pl/,parliamentary-corpora
200,http://zil.ipipan.waw.pl/Spejd,parliamentary-corpora
200,http://zil.ipipan.waw.pl/PANTERA,parliamentary-corpora
200,http://sgjp.pl/morfeusz/,parliamentary-corpora
200,http://hdl.handle.net/11022/0000-0000-A0D3-C,spoken-corpora
200,http://hdl.handle.net/11858/00-097C-0000-0001-CCA1-0,spoken-corpora
200,http://www.maltparser.org/,parliamentary-corpora
200,http://catalog.elra.info/en-us/repository/browse/ptparl-corpus/413b1c68a9e911e7a093ac9e1701ca02f35c58f469474edb98323535cd55b917/,parliamentary-corpora
200,http://hdl.handle.net/11858/00-097C-0000-000D-EC98-3,spoken-corpora
200,https://hdl.handle.net/10670/1.g2c5ba,spoken-corpora
200,https://www.oeaw.ac.at/acdh/tools/parlat/,parliamentary-corpora
200,https://catalog.elra.info/en-us/repository/browse/ptparl-corpus/413b1c68a9e911e7a093ac9e1701ca02f35c58f469474edb98323535cd55b917/,parliamentary-corpora
200,http://hdl.handle.net/11356/1167,parliamentary-corpora
200,http://www.keeleveeb.ee/,parliamentary-corpora
200,http://hdl.handle.net/11509/123,parliamentary-corpora
200,http://www.cl.ut.ee/korpused/segakorpus/riigikogu/,parliamentary-corpora
